Sentence,Emotion
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,-1
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,-1
cô giáo có tâm vời nghề ghêeeee,1
tiếc quá đẹp trai mờ không có chim,-1
crush ở nhà chơi gane rồi haha,1
nhìn stt đồng cảm khủng khiếp .,-1
cài lò xô huyền thoại,1
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,-1
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,-1
cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng   cố gắng lên em nhé 👍,1
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,-1
trốn cũng đéo tha,-1
con gấu trúc   cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi,1
rồi lại im thôi . 200k hay 5tr thì cũng vậy,-1
cái lò huyền thoại nè per   lúc mình ở chung đó,1
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,-1
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,-1
tuyệt vời,1
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),1
tính đi chạy xe mà mưa cho nên ta ở nhà :),0
nhìn nó cưng quá,1
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,-1
này thì cắt đức quan hệ   toàn thể hiện   dume nó,-1
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,-1
hạnh phúc to nè,1
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",-1
ông thần nhây vãi đái 😂😂,1
tóm lại vẩn ế à,1
chả vị nước mắt à 😔,-1
con lợn kia sao đập vào đầu vợ bé của tao =)),-1
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,0
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,-1
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,1
hahaa coi cái mặt con nhỏ thấy thương,1
per khiếp nhớ ngày xưa quá anh em ơi   đi làm cười từ sáng tới tối luôn 😩,1
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,0
tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình   lúc đéo nào cũng cười   cuộc sống tràn ngập niềm vui < 3,1
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,1
per anh tặng vợ cái bát nha kaka,1
tiêu đề bộ phim cứ ngỡ là thể loại hài   nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này,1
như lol,-1
bất ngờ chưa =))),1
trời mới bắt đầu mưa   đéo lo thu thóc đi đứng đó quay ngang quay dọc,-1
ay   đau thế   thằng chó !,-1
có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ   mà không thể or không muốn nói ra .,-1
đm cho tù mọt gông đi   cái thứ không não,-1
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,-1
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,-1
kiến phải loại kiến lửa   kiến vàng   còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :)),-1
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,1
đáng yêuc quá,1
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,0
làm như chỉ có chúng mày biết yêu nhau ý .,-1
nói chung là không nên uống chẳng bổ béo gì đâu,0
không nổi thì mình chìm haha,1
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,0
anh cũng bướng làm !,0
mỗi lần như thế tao chửi   mà bọn nó xem đó là trò đùa mày ạ   càng chửi càng cười,-1
nhìn ma tiếc từng hạt trân châu,-1
thật cảm động,1
trời ơi   tin được không ????,1
per nhìn mặt hài vler :))),1
đấy gọi là biết ngu mà vẫn đâm đầu vào   giống tao :),1
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,1
người ngoài hành tinh đi học tiếng anh rồi à vãi,-1
đó là một câu chuyện buồn 😀,-1
lỗi đạo cụ,-1
per dạo này bị xàm à 😂😂😂,-1
như chết đi sống lại 🙂,-1
bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay   nồng nơi khóe mắt :)),-1
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,1
thả tao ra để tao cắn chết mẹ nó =)),-1
per tao cứ thấy giống giống mày :))))),1
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,-1
giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì   am hiểu gì mà chê này chê nọ,-1
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,1
cưng hết sức nà,1
học kiểu ăn nói láp xược   tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo,-1
cái nệm này độ đàn hồi đỉnh ghê,1
em lấy đi niềm tin chả lại cho anh những gì   cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương,-1
con mèo khốn nạn dám bóp vếu vợ tao à 😡,-1
giỏi quá ta   cố gắng phát huy nha,1
giờ mà quay lại cái thời đi học   tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa,0
ăn cả thế giới đã,0
mấy cái thằng này xử bắn hết đi   to xác không lo làm ăn suốt ngày trộm cắp,-1
đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt   còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .,-1
chú này tội lắm á :(,-1
gọi phường cẩu đi thôi,-1
link phim đéo có .. mà zo toàn gặp bình luận xàm,-1
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,-1
hihi ảo tưởng,1
hahah tao chưa nghe hoàn chỉnh bài này lần nào,1
mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,1
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,0
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,0
dân dùng bằng giả có được khiển trách không nhỉ,0
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),-1
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,-1
per huhu trời ơiii,-1
lớp 5 mà viết kiểu này cô đánh gãy tay .,-1
con gái chả thế :)))) con trai đi dume mày có nhận hàng không,1
xoá mẹ nó đi   pr cho nó làm gì,-1
t thích nhìn mắt của crush hơn là nhìn nó cười,1
hành động đẹp,1
đập chết mẹ nó đi   nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy,-1
"đây là tao khi bảo "" tao biết đường mà   tin tao ."" 🙂",1
t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,-1
chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,1
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),1
ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ   ăn kì cục,-1
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,0
mặt mày nhìn chán thậc,-1
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,-1
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,-1
đau lòng quá,-1
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,-1
vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,1
lúc rài không gặp được mặt cờ rút nữa 😪,-1
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,-1
giống tao hồi bé ... 😅,1
có ai không bị giật mình như tao không . nhạt vãi =))),-1
năm nay không được ăn dồi :((,-1
ổng bị bắt rồi :( rồi lấy gì coi,-1
per thể loại mới nè   có vẻ phê,1
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),1
cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt   ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .,-1
per nhện kìa haha,1
per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,-1
càng thân thiết khi quay lưng càng đau lòng .,-1
lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),1
tôi thấy tương lai của tôi trong bức ảnh này :d,0
per đấu nhau to rồi   phen này hay,1
có thể bán lại cho tớ không ??????,0
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,-1
xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),-1
per phải nói là hiền quá hiền luônnn 🤣,1
phạt thế quá nhẹ ...,-1
có bồ mà cũng sân si,-1
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,-1
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,1
đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,0
ướp đông lạnh luôn à,0
chờ tý tao đi thay bỉm xíu tao quay lại .,-1
có hiệu quả không mới quan trọng,0
sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .,-1
anh chờ ... đáng yêu ghê,1
cười như cục cức trôi sông lạc chợ 😏😏👌,-1
tao buồn mấy năm nay rồi,-1
phải đối xử tốt với chính bản thân mình :),1
chủ động nói chuyện   nhắn tin khi có time . nhưng đời không như mơ,-1
móa   thiệt chứ tụi này nuôi làm gì vậy nhỉ ?,-1
tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁,1
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :),0
mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,-1
sản phẩm khá là mới lạ trong việt nam,1
chuẩn rồi . nhiều khi mệt muốn xỉu   xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự,1
ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó,0
per hồi nhỏ bị con đỉ này dí lòi lol 😂  bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết . mà đươ ̣ c cái con này nuôi nó giữ nhà cửa hay   có nó không sợ ma quỷ gì hết,-1
chắc ổng chỉ ngồi 1 chỗ và để móng lên bàn nv . chư tao nghĩ đi lại cũng khó,-1
nó mới ghé nhà tao đây :)),1
nhìn mặt là cười phọt rồi,1
per cấm dừng đỗ đâu cụ thớt ???,0
đọc chả hiểu gì :( mất gốc rồi :(,-1
mạng lag chưa xem được nhưng vẫn vào bình luận 😍😍,0
em vợ có thể ngủ với mẹ   còn anh thì ngủ với em 😂,1
cái giọng anh quay phim nghe ngọt quá 😘😘,1
đẹp đôi vãi 🤩,1
như con ma tơi có ngày ném cho cái cốc vào mặt thì đừng trách,-1
ổng để móng có 1 bàn tay thôi còn bàn tay kia vẫn sạch sẽ bình thường mà các cụ cứ hỏi chùi đít   đanh răng   quay tay kiểu gì là sao :)),0
chỉ thấy mất dạy,-1
vì nó biết mày còn 2 quả thận thôi con ạ . rửa mặt đi :vậy,-1
tiền cắt tóc như kia đủ mua giày rồi :v,-1
trên phim thôi . ngoài đời thì đứa con gái uống xong ngất luôn   hôm sau thì bị bán mẹ sang trung quốc,0
đấy cổ tích như thế có mà dân lại ngồi hết lên đầu pháp luật . tai nạn tăng không ngừng nghỉ ấy chứ .,-1
nếu không có lòng yêu thương   thì đừng nuôi,-1
định mệnh gớm vãi 🤮🤮🤮,-1
kiểu xem đứa nào thắng !,0
èo   ngọt quá đi,1
lấy vợ xong bị tàn phá là có thật 😆 béo vãi_chưởng,-1
nếu người ta sai thì gọi công an xử lý còn không thì bạn không có quyền nhé,-1
t thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi 😧😧😧,-1
nó bướng vãi . cứ làm theo ý mình,-1
nghe như hát trầu văn,-1
đúng rồi mà kệ nó tao đéo quan tâm . chụp cho ai thì chụp,0
nhà có người già vui thật nhỉ 🤣👍,1
tao nấu củi chưa nấu bằng rơm bao giờ 😪,0
